r_top:
0.05, 0.475
0.05, 0.58
0.11, 0.37
0.24, 0.29
0.15, 0.43
0.23, 0.46
0.19, 0.52
0.1, 0.53
0.31, 0.56
0.2, 0.61
0.4, 0.61
0.51, 0.61
0.11, 0.67
0.35, 0.67
0.25, 0.69
0.415, 0.74
0.215, 0.76


b_center:
0.47, 0.25
0.365, 0.283
0.562, 0.283
0.49, 0.325
0.4, 0.368
0.538, 0.368
0.315, 0.39
0.455, 0.4
0.53, 0.43
0.595, 0.425
0.45, 0.475
0.353, 0.495
0.43, 0.53
0.53, 0.515


r_bottom:
0.505, 0.055
0.71, 0.08
0.421, 0.105
0.545, 0.12
0.67, 0.145
0.48, 0.16
0.366, 0.185
0.82, 0.195
0.57, 0.203
0.695, 0.22
0.775, 0.26
0.66, 0.29
0.726, 0.334
0.81, 0.375
0.685, 0.4
0.745, 0.455
0.646, 0.515
